iter	Passed	Remaining
0	150	149862
1	152	76135
2	155	51573
3	157	39264
4	159	31720
5	161	26812
6	164	23360
7	167	20744
8	169	18664
9	172	17040
10	175	15781
11	178	14688
12	181	13793
13	183	12925
14	185	12165
15	187	11550
16	190	11018
17	192	10489
18	194	10059
19	197	9676
20	200	9343
21	201	8966
22	204	8678
23	206	8397
24	208	8140
25	211	7908
26	212	7672
27	215	7468
28	216	7260
29	218	7057
30	219	6875
31	221	6705
32	222	6533
33	224	6384
34	226	6240
35	227	6101
36	229	5974
37	231	5850
38	232	5731
39	234	5621
40	235	5515
41	237	5422
42	238	5316
43	240	5231
44	241	5132
45	242	5036
46	243	4947
47	245	4864
48	246	4784
49	247	4703
50	248	4622
51	249	4546
52	250	4474
53	251	4406
54	252	4339
55	253	4271
56	254	4209
57	255	4150
58	256	4092
59	257	4037
60	258	3981
61	259	3928
62	260	3873
63	261	3819
64	262	3769
65	262	3719
66	263	3675
67	264	3628
68	265	3580
69	266	3536
70	266	3491
71	267	3449
72	268	3407
73	269	3370
74	270	3333
75	271	3297
76	271	3258
77	272	3221
78	273	3184
79	274	3151
80	274	3118
81	275	3085
82	276	3049
83	276	3018
84	277	2986
85	278	2955
86	278	2925
87	279	2896
88	280	2869
89	281	2841
90	281	2816
91	282	2790
92	283	2764
93	284	2738
94	285	2715
95	286	2695
96	287	2673
97	288	2650
98	289	2630
99	289	2608
100	290	2586
101	291	2564
102	292	2544
103	293	2527
104	294	2510
105	295	2492
106	296	2473
107	297	2455
108	298	2437
109	298	2419
110	300	2404
111	301	2389
112	302	2373
113	303	2358
114	304	2343
115	305	2325
116	305	2308
117	306	2292
118	307	2277
119	308	2261
120	309	2245
121	309	2229
122	310	2214
123	311	2198
124	312	2184
125	312	2170
126	313	2156
127	314	2142
128	315	2130
129	316	2117
130	317	2104
131	317	2090
132	318	2078
133	319	2066
134	320	2053
135	321	2040
136	321	2027
137	322	2014
138	323	2004
139	324	1993
140	325	1981
141	325	1969
142	326	1957
143	327	1945
144	327	1933
145	328	1922
146	329	1913
147	330	1903
148	331	1893
149	332	1883
150	333	1873
151	333	1863
152	334	1853
153	335	1842
154	336	1833
155	337	1823
156	337	1814
157	338	1804
158	339	1794
159	339	1784
160	340	1773
161	341	1765
162	342	1757
163	342	1748
164	343	1740
165	345	1733
166	345	1725
167	346	1716
168	347	1708
169	348	1700
170	349	1692
171	349	1684
172	350	1675
173	351	1667
174	351	1658
175	352	1650
176	353	1644
177	354	1636
178	354	1628
179	355	1620
180	356	1612
181	357	1605
182	357	1597
183	358	1590
184	359	1585
185	360	1579
186	362	1573
187	363	1568
188	363	1561
189	364	1553
190	365	1546
191	365	1539
192	366	1533
193	367	1526
194	367	1518
195	368	1511
196	369	1504
197	369	1498
198	370	1491
199	371	1485
200	372	1479
201	373	1473
202	373	1467
203	374	1460
204	375	1455
205	376	1449
206	376	1443
207	377	1437
208	378	1432
209	379	1426
210	379	1420
211	380	1414
212	381	1408
213	381	1402
214	382	1396
215	383	1390
216	383	1385
217	384	1380
218	385	1374
219	386	1368
220	386	1363
221	387	1357
222	388	1352
223	388	1346
224	389	1341
225	390	1336
